sim,time,persistence,TimeValue,FILE
23,4,0.01,376,data/23_4_0.01_376.vtu
23,4.2,0.01,380,data/23_4.2_0.01_380.vtu
23,4.3,0.01,382,data/23_4.3_0.01_382.vtu
23,4.4,0.01,384,data/23_4.4_0.01_384.vtu
23,4.5,0.01,386,data/23_4.5_0.01_386.vtu
1,3.5,0.05,69,data/1_3.5_0.05_69.vtu
1,3.6,0.05,71,data/1_3.6_0.05_71.vtu
1,3.7,0.05,73,data/1_3.7_0.05_73.vtu
1,3.8,0.05,75,data/1_3.8_0.05_75.vtu
1,3.9,0.05,77,data/1_3.9_0.05_77.vtu
1,4,0.05,79,data/1_4_0.05_79.vtu
1,4.2,0.05,83,data/1_4.2_0.05_83.vtu
1,4.3,0.05,85,data/1_4.3_0.05_85.vtu
1,4.4,0.05,87,data/1_4.4_0.05_87.vtu
1,4.5,0.05,89,data/1_4.5_0.05_89.vtu
2,3.5,0.05,69,data/2_3.5_0.05_69.vtu
2,3.6,0.05,71,data/2_3.6_0.05_71.vtu
2,3.7,0.05,73,data/2_3.7_0.05_73.vtu
2,3.8,0.05,75,data/2_3.8_0.05_75.vtu
2,3.9,0.05,77,data/2_3.9_0.05_77.vtu
2,4,0.05,79,data/2_4_0.05_79.vtu
2,4.2,0.05,83,data/2_4.2_0.05_83.vtu
2,4.3,0.05,85,data/2_4.3_0.05_85.vtu
2,4.4,0.05,87,data/2_4.4_0.05_87.vtu
2,4.5,0.05,89,data/2_4.5_0.05_89.vtu
3,3.5,0.05,168,data/3_3.5_0.05_168.vtu
3,3.6,0.05,170,data/3_3.6_0.05_170.vtu
3,3.7,0.05,172,data/3_3.7_0.05_172.vtu
3,3.8,0.05,174,data/3_3.8_0.05_174.vtu
3,3.9,0.05,176,data/3_3.9_0.05_176.vtu
3,4,0.05,178,data/3_4_0.05_178.vtu
3,4.2,0.05,182,data/3_4.2_0.05_182.vtu
3,4.3,0.05,184,data/3_4.3_0.05_184.vtu
3,4.4,0.05,186,data/3_4.4_0.05_186.vtu
3,4.5,0.05,188,data/3_4.5_0.05_188.vtu
4,3.5,0.05,267,data/4_3.5_0.05_267.vtu
4,3.6,0.05,269,data/4_3.6_0.05_269.vtu
4,3.7,0.05,271,data/4_3.7_0.05_271.vtu
4,3.8,0.05,273,data/4_3.8_0.05_273.vtu
4,3.9,0.05,275,data/4_3.9_0.05_275.vtu
4,4,0.05,277,data/4_4_0.05_277.vtu
4,4.2,0.05,281,data/4_4.2_0.05_281.vtu
4,4.3,0.05,283,data/4_4.3_0.05_283.vtu
4,4.4,0.05,285,data/4_4.4_0.05_285.vtu
4,4.5,0.05,287,data/4_4.5_0.05_287.vtu
5,3.5,0.05,366,data/5_3.5_0.05_366.vtu
5,3.6,0.05,368,data/5_3.6_0.05_368.vtu
5,3.7,0.05,370,data/5_3.7_0.05_370.vtu
5,3.8,0.05,372,data/5_3.8_0.05_372.vtu
5,3.9,0.05,374,data/5_3.9_0.05_374.vtu
5,4,0.05,376,data/5_4_0.05_376.vtu
5,4.2,0.05,380,data/5_4.2_0.05_380.vtu
5,4.3,0.05,382,data/5_4.3_0.05_382.vtu
5,4.4,0.05,384,data/5_4.4_0.05_384.vtu
5,4.5,0.05,386,data/5_4.5_0.05_386.vtu
6,3.5,0.05,465,data/6_3.5_0.05_465.vtu
6,3.6,0.05,467,data/6_3.6_0.05_467.vtu
6,3.7,0.05,469,data/6_3.7_0.05_469.vtu
6,3.8,0.05,471,data/6_3.8_0.05_471.vtu
6,3.9,0.05,473,data/6_3.9_0.05_473.vtu
6,4,0.05,475,data/6_4_0.05_475.vtu
6,4.2,0.05,479,data/6_4.2_0.05_479.vtu
6,4.3,0.05,481,data/6_4.3_0.05_481.vtu
6,4.4,0.05,483,data/6_4.4_0.05_483.vtu
6,4.5,0.05,485,data/6_4.5_0.05_485.vtu
7,3.5,0.05,69,data/7_3.5_0.05_69.vtu
7,3.6,0.05,71,data/7_3.6_0.05_71.vtu
7,3.7,0.05,73,data/7_3.7_0.05_73.vtu
7,3.8,0.05,75,data/7_3.8_0.05_75.vtu
7,3.9,0.05,77,data/7_3.9_0.05_77.vtu
7,4,0.05,79,data/7_4_0.05_79.vtu
7,4.2,0.05,83,data/7_4.2_0.05_83.vtu
7,4.3,0.05,85,data/7_4.3_0.05_85.vtu
7,4.4,0.05,87,data/7_4.4_0.05_87.vtu
7,4.5,0.05,89,data/7_4.5_0.05_89.vtu
8,3.5,0.05,168,data/8_3.5_0.05_168.vtu
8,3.6,0.05,170,data/8_3.6_0.05_170.vtu
8,3.7,0.05,172,data/8_3.7_0.05_172.vtu
8,3.8,0.05,174,data/8_3.8_0.05_174.vtu
8,3.9,0.05,176,data/8_3.9_0.05_176.vtu
8,4,0.05,178,data/8_4_0.05_178.vtu
8,4.2,0.05,182,data/8_4.2_0.05_182.vtu
8,4.3,0.05,184,data/8_4.3_0.05_184.vtu
8,4.4,0.05,186,data/8_4.4_0.05_186.vtu
8,4.5,0.05,188,data/8_4.5_0.05_188.vtu
9,3.5,0.05,267,data/9_3.5_0.05_267.vtu
9,3.6,0.05,269,data/9_3.6_0.05_269.vtu
9,3.7,0.05,271,data/9_3.7_0.05_271.vtu
9,3.8,0.05,273,data/9_3.8_0.05_273.vtu
9,3.9,0.05,275,data/9_3.9_0.05_275.vtu
9,4,0.05,277,data/9_4_0.05_277.vtu
9,4.2,0.05,281,data/9_4.2_0.05_281.vtu
9,4.3,0.05,283,data/9_4.3_0.05_283.vtu
9,4.4,0.05,285,data/9_4.4_0.05_285.vtu
9,4.5,0.05,287,data/9_4.5_0.05_287.vtu
10,3.5,0.05,366,data/10_3.5_0.05_366.vtu
10,3.6,0.05,368,data/10_3.6_0.05_368.vtu
10,3.7,0.05,370,data/10_3.7_0.05_370.vtu
10,3.8,0.05,372,data/10_3.8_0.05_372.vtu
10,3.9,0.05,374,data/10_3.9_0.05_374.vtu
10,4,0.05,376,data/10_4_0.05_376.vtu
